Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
test/autenticacion2/authentication-ui/assets/svg/countries/me.svg-992,150,569,0,5349,822.03,0.000%,1.82697,106.94,1.17,59937.0
test/autenticacion2/authentication-ui/assets/svg/countries/nr.svg-996,150,188,0,3031,356.19,0.000%,1.82704,1.46,1.17,816.0
test/autenticacion2/authentication-ui/assets/svg/countries/np.svg-997,150,179,0,1304,278.20,0.000%,1.82032,3.34,1.17,1881.0
"test/autenticacion2/authentication-ui/assets/svg/countries/ng.svg-1,000",150,274,0,3049,529.27,0.000%,1.80758,0.83,1.16,467.9
test/autenticacion2/authentication-ui/assets/svg/countries/ne.svg-999,150,228,0,3334,436.64,0.000%,1.80832,1.05,1.16,595.9
"test/autenticacion2/authentication-ui/assets/svg/countries/no.svg-1,002",150,220,0,2948,383.61,0.000%,1.80113,0.97,1.16,554.0
"test/autenticacion2/authentication-ui/assets/svg/countries/nu.svg-1,001",150,280,0,3852,560.78,0.000%,1.80115,2.31,1.16,1310.9
test/autenticacion2/authentication-ui/assets/svg/countries/ni.svg-998,150,498,0,6278,770.14,0.000%,1.79501,71.24,1.15,40638.9
"test/autenticacion2/authentication-ui/assets/svg/countries/nc.svg-1,003",150,223,0,1683,332.04,0.000%,1.78889,0.85,1.15,485.9
"test/autenticacion2/authentication-ui/assets/svg/countries/nz.svg-1,004",150,266,0,3340,475.26,0.000%,1.78274,3.62,1.14,2079.0
"test/autenticacion2/authentication-ui/assets/svg/countries/om.svg-1,005",150,425,0,5002,652.84,0.000%,1.78211,29.22,1.14,16790.9
"test/autenticacion2/authentication-ui/assets/svg/countries/nl.svg-1,007",150,230,0,3043,419.21,0.000%,1.77944,0.84,1.14,485.9
"test/autenticacion2/authentication-ui/assets/svg/countries/pk.svg-1,006",150,269,0,2218,406.43,0.000%,1.77938,1.16,1.14,666.0
"test/autenticacion2/authentication-ui/assets/svg/countries/pw.svg-1,008",150,272,0,3045,485.47,0.000%,1.77355,0.79,1.14,455.0
"test/autenticacion2/authentication-ui/assets/svg/countries/ps.svg-1,009",150,298,0,3045,531.10,0.000%,1.77349,0.89,1.14,512.9
"test/autenticacion2/authentication-ui/assets/svg/countries/pa.svg-1,010",150,378,0,8696,931.65,0.000%,1.77601,1.51,1.14,873.0
"test/autenticacion2/authentication-ui/assets/svg/countries/pg.svg-1,011",150,302,0,6892,752.52,0.000%,1.77616,8.57,1.14,4941.9
"test/autenticacion2/authentication-ui/assets/svg/countries/pf.svg-1,014",150,287,0,3775,490.36,0.000%,1.77601,10.52,1.14,6064.0
"test/autenticacion2/authentication-ui/assets/svg/countries/pn.svg-1,012",150,364,0,3907,541.65,0.000%,1.77616,26.01,1.14,14997.0
"test/autenticacion2/authentication-ui/assets/svg/countries/py.svg-1,013",150,475,0,6535,793.33,0.000%,1.77590,39.58,1.14,22821.0
"test/autenticacion2/authentication-ui/assets/svg/countries/pl.svg-1,015",150,276,0,3334,472.31,0.000%,1.77593,0.79,1.14,453.0
"test/autenticacion2/authentication-ui/assets/svg/countries/pr.svg-1,017",150,304,0,3813,536.93,0.000%,1.77590,1.04,1.14,597.0
